,crew,seat,scenario,gaze_variance_control,gaze_variance_event1,gaze_variance_event2,gaze_vel_avg_control,gaze_vel_avg_event1,gaze_vel_avg_event2,gaze_vel_std_control,gaze_vel_std_event1,gaze_vel_std_event2,headHeading_avg_control,headHeading_avg_event1,headHeading_avg_event2,headHeading_std_control,headHeading_std_event1,headHeading_std_event2,pupilD_avg_control,pupilD_avg_event1,pupilD_avg_event2,pupilD_std_control,pupilD_std_event1,pupilD_std_event2
8,4.0,0.0,6.0,0.14407467487521833,0.14407467487521833,0.0632973479129942,188.40138242922646,188.73508344857996,141.10215961056576,436.392559223003,438.6949834378678,352.53748000427476,0.08837944276897305,-0.5514082340433678,-1.3648640923023398,95.14027560870291,103.92193351728847,128.54281094555978,0.003550031078439597,0.0035227731329534663,0.003138222150355872,0.0036197474193588168,0.003394828562574589,0.000823254902475299
9,4.0,1.0,6.0,0.12154190393802687,0.12154190393802687,0.11573775520183929,403.21259034570903,332.9744392173253,548.5285523634763,601.8965010807146,489.83238026275853,1334.0856196194093,1.8770433794317147,0.9951344025078306,1.8321271782859274,199.37380841786594,119.94041568490233,221.00680301163567,0.0035688050955823294,0.003673950667896679,0.0034748014284274194,0.0010427742838983378,0.0009589606760910008,0.0013150261705383577
10,4.0,0.0,7.0,0.0,0.0,0.0,151.22314291812222,0.0,0.0,443.65430412730603,0.0,0.0,-5.247544061484015,0.0,0.0,228.3376021622611,0.0,0.0,0.0030191430843373493,0.0,0.0,0.0013366291174288574,0.0,0.0
11,4.0,1.0,7.0,0.23118348530451094,0.0,0.0,410.3167710341281,0.0,0.0,561.3859166242298,0.0,0.0,0.8527354862675162,0.0,0.0,98.62398380668094,0.0,0.0,0.0036625781959839358,0.0,0.0,0.001180255529555531,0.0,0.0
0,5.0,0.0,1.0,0.0,0.0,0.0,201.22031723479296,276.99143919487034,429.4192219850972,398.9161020847118,570.2313502610514,756.8434365483919,1.8168206641052032,7.018944433605312,8.632997952325546,751.8656296307481,528.9692445098268,577.4221909014242,0.0036905322162679426,0.002744463502857143,0.0035633339324116745,0.0023572166505017437,0.0011968413917978792,0.0030434406593703913
1,5.0,1.0,1.0,0.5162843438098825,0.0,0.29255966700110225,248.33836238996147,267.64551393946056,222.10154861713843,395.78730237085125,438.0137255656186,386.42890716829214,0.7300094703066029,0.6832952744318158,-0.6002126395361451,90.42453315880017,97.1267826288702,51.58993055713192,0.00405164547835405,0.003717324728915663,0.003845796294536817,0.0013365283475152666,0.0016397625452326328,0.0009720875935714598
2,5.0,0.0,2.0,0.07170396026621588,0.0,0.0,143.6651880406248,226.9122124369644,179.35212665895097,357.8508830694879,464.56469274688703,386.2681809394615,7.50231365099104,-0.2996300987278546,0.11567766302307796,570.0703708186352,374.87290193852397,210.95325825746335,0.002617531017621145,0.003021284525858502,0.003395245685222672,0.0011639094220517033,0.004111664769212522,0.0042555844101137535
3,5.0,1.0,2.0,0.6308666982641973,0.7880732600496636,0.09310366669043181,266.886587234907,363.5842329988493,366.41891496697764,454.0003681610326,597.7213417795703,575.1690561944242,1.2024375110372816,0.7147315984909065,-0.37609415732892676,293.4422681510697,189.1163324670183,34.78338688442564,0.003681038976151316,0.0035996885955555556,0.004133622326374391,0.001257913004842548,0.0014997190205802053,0.0017786511512938767
4,5.0,0.0,3.0,0.1037763084667725,0.06938612454266313,0.010878745654086235,221.44816008322488,202.63870942214436,222.02869642819644,644.1926028186643,424.84355567342294,538.9847001387935,-1.7464510542541705,4.435203257080936,-0.43507452576249306,431.16141558403245,710.1572234498124,78.28440786324174,0.002926455445552785,0.004013293779472141,0.0034064849561336393,0.0021555131573744494,0.004856925322038255,0.0030065275019218814
5,5.0,1.0,3.0,0.24736922614765394,0.7891677866676772,0.24469586963225612,240.0907837816765,350.47165733349226,302.3332364403113,365.9320069008334,528.5644035496306,772.7876475144491,-0.4409382553950114,0.8491458641074745,0.1349606356219129,133.96570583787167,112.65718646935157,36.02241939887939,0.004517854083129584,0.004379920358056266,0.004253009802298851,0.0005835439601633576,0.0007240587447436985,0.0015048280035818169
6,5.0,0.0,5.0,0.05682940512227482,0.055704400823607905,0.055704400823607905,93.15875453150818,100.91202924925258,100.91202924925258,246.24653976507176,285.087298409907,285.087298409907,-0.18860544283883668,-0.4552324274085316,-0.4552324274085316,32.02866643115222,32.89190284716495,32.89190284716495,0.0029802981915120494,0.0030037384498480244,0.0030037384498480244,0.00028455473617469544,0.0003121470283970225,0.0003121470283970225
7,5.0,1.0,5.0,0.10268282112103562,0.10425207028898034,0.10425207028898034,458.21824424273717,481.5828049989949,481.5828049989949,751.7723842472103,785.4923721595569,785.4923721595569,0.4212611441535304,-0.11283177086539649,-0.11283177086539649,39.940382262530676,40.59965003406462,40.59965003406462,0.0032729043288590603,0.0033540290874524716,0.0033540290874524716,0.0008324462796469408,0.0008480948881832284,0.0008480948881832284
8,5.0,0.0,6.0,0.0,0.0,0.0,253.92968583293012,191.88016738179167,202.56532969901062,520.1637393330863,352.5662923495402,423.47646524110553,-8.782783770782693,-4.540189667012488,-8.632371915591076,544.3754214925406,527.332459210167,426.1344116777735,0.0031624373868212323,0.003136859682163188,0.003353650015114873,0.002389972304861008,0.002479114686959047,0.0027684796785621153
