Subject,Crew,Seat,Run #,Scenario ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
902,9,right,3,6,4,nan,5,5,nan,nan,nan,nan,5,4,nan,5,nan,nan,5,nan
902,9,right,4,1,nan,nan,4,4,nan,nan,nan,nan,4,4,nan,nan,nan,3,4,3
902,9,right,5,5,nan,4,4,4,nan,nan,nan,4,4,4,nan,nan,nan,nan,3,4
1001,10,left,0,7,4,4,nan,4,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,4,nan
1001,10,left,1,3,3,3,nan,3,nan,nan,4,4,4,3,3,3,3,4,3,3
1001,10,left,2,1,4,4,3,2,4,4,4,4,3,3,3,4,2,4,3,3
1001,10,left,3,5,3,nan,3,4,3,3,3,3,4,3,2,2,3,3,3,3
1001,10,left,4,2,4,4,4,nan,nan,4,3,nan,nan,4,4,nan,4,nan,4,4
1001,10,left,5,6,4,nan,4,4,4,nan,nan,nan,4,4,4,4,4,4,4,4
1002,10,right,0,7,5,4,nan,nan,nan,4,nan,nan,nan,4,nan,nan,nan,nan,5,nan
1002,10,right,1,3,3,nan,nan,2,nan,nan,2,nan,3,3,nan,nan,2,nan,3,2
1002,10,right,2,1,5,nan,2,4,4,3,2,2,3,2,3,3,2,3,2,3
1002,10,right,3,5,3,nan,nan,4,4,nan,nan,4,4,4,nan,nan,nan,nan,4,2
1002,10,right,4,2,4,nan,3,4,4,3,nan,nan,5,nan,nan,nan,4,nan,4,4
1002,10,right,5,6,3,nan,3,4,nan,3,4,nan,nan,4,nan,nan,4,4,4,4
1101,11,left,0,7,nan,5,5,5,nan,3,nan,nan,nan,nan,nan,nan,nan,nan,4,nan
1101,11,left,1,6,5,5,4,4,nan,nan,3,nan,4,nan,nan,4,3,nan,4,5
1101,11,left,2,1,5,4,4,4,4,nan,nan,4,4,nan,4,4,5,4,4,5
1101,11,left,3,2,5,nan,4,nan,5,5,5,4,4,nan,4,4,5,4,4,5
1101,11,left,4,3,4,4,3,4,3,nan,nan,4,4,5,4,4,4,4,5,5
1101,11,left,5,5,4,nan,4,4,4,4,4,4,4,3,nan,3,nan,4,4,5
1102,11,right,0,7,5,5,5,5,5,3,3,3,3,3,5,5,5,5,5,3
1102,11,right,1,6,3,3,3,4,2,3,3,4,3,3,3,4,5,5,3,5
1102,11,right,2,1,4,4,4,4,3,4,4,5,5,4,4,4,3,5,4,5
1102,11,right,3,2,5,4,4,5,4,4,5,4,5,5,4,5,4,5,4,5
1102,11,right,4,3,5,4,4,5,4,5,4,5,5,5,5,5,4,5,5,5
1102,11,right,5,5,4,3,3,3,4,5,5,4,5,5,5,5,5,5,4,5
1301,13,left,0,7,5,4,5,5,4,4,nan,4,5,5,5,5,nan,nan,5,5
1301,13,left,1,1,5,5,5,4,4,nan,nan,nan,5,4,5,5,nan,nan,4,5
1301,13,left,2,6,4,5,5,5,5,nan,nan,4,4,4,5,4,nan,nan,5,5
1301,13,left,3,3,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5
1301,13,left,4,2,5,5,4,5,5,nan,4,4,5,5,5,4,5,5,5,5
1301,13,left,5,5,4,4,5,5,4,nan,4,4,4,5,5,4,4,4,4,5
1302,13,right,0,7,4,nan,4,4,nan,4,4,nan,4,3,nan,nan,nan,4,4,4
1302,13,right,1,1,4,4,3,3,nan,nan,4,nan,4,nan,4,4,3,4,4,4
1302,13,right,2,6,4,4,3,3,nan,4,4,nan,nan,4,nan,4,nan,3,4,4
1302,13,right,3,3,nan,nan,3,3,nan,4,3,nan,nan,3,nan,3,4,4,4,4
1302,13,right,4,2,nan,nan,3,nan,4,4,4,nan,nan,nan,3,4,4,nan,4,4
1302,13,right,5,5,4,3,3,4,3,nan,4,nan,4,3,5,3,4,3,4,4
